"time","$STATESET1.x","$STATESET2.x","der($STATESET1.x)","der($STATESET2.x)","der(vx)","der(vy)","der(x)","der(y)","F","vx","vy","x","y","$STATESET1.A[1]","$STATESET1.A[2]","$STATESET2.A[1]","$STATESET2.A[2]"
0.926,-0.8683836140487347,-0.03866686882756201,-9.633996292033251,-0.8683836140487347,2.269082399802633,-9.633996292033251,0.06735706734292173,-0.8683836140487347,2.275898117735528,0.06735706734292173,-0.8683836140487347,-0.4985026311415739,-0.03866686882756201,1,0,0,1
0.928,-0.8876354403427679,-0.0404228939701231,-9.617647033237208,-0.8876354403427679,2.371469530277219,-9.617647033237208,0.07199726084347771,-0.8876354403427679,2.379257740736741,0.07199726084347771,-0.8876354403427679,-0.4983633108918434,-0.0404228939701231,1,0,0,1
0.93,-0.9068534687139236,-0.04221738944114459,-9.600189560865713,-0.9068534687139236,2.476008233999061,-9.600189560865713,0.07684438278059112,-0.9068534687139236,2.484881726602068,0.07684438278059112,-0.9068534687139236,-0.4982145040329263,-0.04221738944114459,1,0,0,1
0.9320000000000001,-0.9260354330404466,-0.04405028605007972,-9.581575834638125,-0.9260354330404466,2.582684220100695,-9.581575834638125,0.08190272323712142,-0.9260354330404466,2.592765970942692,0.08190272323712142,-0.9260354330404466,-0.4980557923555414,-0.04405028605007972,1,0,0,1
0.9340000000000001,-0.9451789810217941,-0.04592150715313741,-9.561756958191133,-0.9451789810217941,2.691482244331045,-9.561756958191133,0.08717653842853931,-0.9451789810217941,2.702906080380116,0.08717653842853931,-0.9451789810217941,-0.4978867493524851,-0.04592150715313741,1,0,0,1
0.9360000000000001,-0.9642816576380606,-0.04783097226894849,-9.540683177754504,-0.9642816576380606,2.802386092590343,-9.540683177754504,0.09267005444801323,-0.9642816576380606,2.815297384413978,0.09267005444801323,-0.9642816576380606,-0.4977069399674944,-0.04783097226894849,1,0,0,1
0.9379999999999999,-0.9833408976752531,-0.0497785983438053,-9.518303891971183,-0.9833408976752531,2.915378546593831,-9.518303891971183,0.09838746774498941,-0.9833408976752531,2.929934929205547,0.09838746774498941,-0.9833408976752531,-0.4975159204959437,-0.0497785983438053,1,0,0,1
0.9399999999999999,-1.002354038199911,-0.05176429584480921,-9.494567695014988,-1.002354038199911,3.030441324745947,-9.494567695014988,0.104332937284948,-1.002354038199911,3.046813443871502,0.104332937284948,-1.002354038199911,-0.4973132389909715,-0.05176429584480921,1,0,0,1
0.9419999999999999,-1.021318311467026,-0.05378796992590357,-9.469422391414584,-1.021318311467026,3.147555048640635,-9.469422391414584,0.1105105844849826,-1.021318311467026,3.165927335188367,0.1105105844849826,-1.021318311467026,-0.4970984352130371,-0.05378796992590357,1,0,0,1
0.944,-1.040230843001141,-0.0558495202527054,-9.442815019830652,-1.040230843001141,3.266699201731703,-9.442815019830652,0.116924491014183,-1.040230843001141,3.287270674017658,0.116924491014183,-1.040230843001141,-0.4968710407012494,-0.0558495202527054,1,0,0,1
